ID;Batch;Distance (µm);Sr:Ca_Avg
SH31;Spring-spawning;0;2.10627914328382
SH32;Spring-spawning;0;2.03203343127352
SH_29;Spring-spawning;0;2.28233176141712
SH_27;Spring-spawning;0;1.66706686673993
SH_26;Spring-spawning;0;1.56105060935066
SH_25;Spring-spawning;0;2.49143895156697
SH_23;Spring-spawning;0;1.99233235437105
SH_22;Spring-spawning;0;1.72185894579383
SH_33;Spring-spawning;0;2.12106517245353
SL57;Slåttersill;0;2.62988155313429
SL_63;Slåttersill;0;1.86279765079311
SL-51;Slåttersill;0;2.12816194291156
SL_53;Slåttersill;0;2.57256926383931
SL_45;Slåttersill;0;2.49981661443448
SL_54;Slåttersill;0;1.98768741834796
SL_58;Slåttersill;0;1.73251711203397
SL_66;Slåttersill;0;2.24441399476746
SL_65;Slåttersill;0;2.02995456497495
SL_62;Slåttersill;0;2.21078850134275
UP_11_4;Autumn-spawning;0;1.02890979881228
UP_11_9;Autumn-spawning;0;1.17286416635062
UP_11_5;Autumn-spawning;0;1.73870232127062
UP_11_6;Autumn-spawning;0;1.34177103282392
UP_11_18;Autumn-spawning;0;1.46800359726981
UP_11_7;Autumn-spawning;0;1.42593753978744
UP_11_8;Autumn-spawning;0;1.50751371369985
UP_11_14;Autumn-spawning;0;1.43874132487045
SH_21;Spring-spawning;0;2.21482962100745
SH_29;Spring-spawning;10.92;2.25479383907511
SH_27;Spring-spawning;10.92;1.614839574991
SH_26;Spring-spawning;10.92;1.57090732375134
SH_25;Spring-spawning;10.92;2.45153398421492
SH_23;Spring-spawning;10.92;1.99941812611479
SH_22;Spring-spawning;10.92;1.75532506815766
SL57;Slåttersill;10.92;2.55387568894071
SL_63;Slåttersill;10.92;1.89194466976407
SL_58;Slåttersill;10.92;1.72239221920945
SL_66;Slåttersill;10.92;2.22228894835106
SL_65;Slåttersill;10.92;2.04850432945601
SL_62;Slåttersill;10.92;2.18262019872598
SH_21;Spring-spawning;10.92;2.2337337717935
SH31;Spring-spawning;11.525;2.07028432779441
SH32;Spring-spawning;11.525;2.06710037588092
SH_33;Spring-spawning;11.525;1.98631581032555
UP_11_4;Autumn-spawning;11.525;1.04006259682341
UP_11_9;Autumn-spawning;11.525;1.19738947133315
UP_11_5;Autumn-spawning;11.525;1.77138190801373
UP_11_6;Autumn-spawning;11.525;1.36386750446516
UP_11_18;Autumn-spawning;11.525;1.44922547510272
UP_11_7;Autumn-spawning;11.525;1.47535206957782
UP_11_8;Autumn-spawning;11.525;1.43500759257423
UP_11_14;Autumn-spawning;11.525;1.46906000321337
SH_29;Spring-spawning;21.84;2.22580380421517
SH_27;Spring-spawning;21.84;1.61058279737487
SH_26;Spring-spawning;21.84;1.61682818303164
SH_25;Spring-spawning;21.84;2.42565640959416
SH_23;Spring-spawning;21.84;2.00651891668459
SH_22;Spring-spawning;21.84;1.78480285623221
SL57;Slåttersill;21.84;2.50110624262703
SL_63;Slåttersill;21.84;1.94350084201678
SL_58;Slåttersill;21.84;1.73701526555875
SL_66;Slåttersill;21.84;2.22887301093412
SL_65;Slåttersill;21.84;2.05430375989209
SL_62;Slåttersill;21.84;2.15980511608597
SH_21;Spring-spawning;21.84;2.16914281022438
SH31;Spring-spawning;23.05;2.0942227464182
SH32;Spring-spawning;23.05;2.01598563666212
SH_33;Spring-spawning;23.05;1.84294992186073
UP_11_4;Autumn-spawning;23.05;1.04373702657561
UP_11_9;Autumn-spawning;23.05;1.10640448064094
UP_11_5;Autumn-spawning;23.05;1.68272578159582
UP_11_6;Autumn-spawning;23.05;1.37219167374842
UP_11_18;Autumn-spawning;23.05;1.44089623139297
UP_11_7;Autumn-spawning;23.05;1.49172319934058
UP_11_8;Autumn-spawning;23.05;1.39402181302777
UP_11_14;Autumn-spawning;23.05;1.5256765987938
SL-51;Slåttersill;26.0432776598764;2.0064217628143
SL_53;Slåttersill;26.0432776598764;2.53351329984768
SL_45;Slåttersill;26.0432776598764;2.2318349106196
SL_54;Slåttersill;26.0432776598764;1.92314206629549
SH_29;Spring-spawning;32.76;2.25877574406517
SH_27;Spring-spawning;32.76;1.62249784407281
SH_26;Spring-spawning;32.76;1.62515299690777
SH_25;Spring-spawning;32.76;2.43130568163038
SH_23;Spring-spawning;32.76;1.9451040766662
SH_22;Spring-spawning;32.76;1.81571175349104
SL57;Slåttersill;32.76;2.57325299100092
SL_63;Slåttersill;32.76;2.0211734392312
SL_58;Slåttersill;32.76;1.73562133655092
SL_66;Slåttersill;32.76;2.23404099143125
SL_65;Slåttersill;32.76;2.07496593297659
SL_62;Slåttersill;32.76;2.20862890166419
SH_21;Spring-spawning;32.76;2.11921169147911
SH31;Spring-spawning;34.575;2.09052492741995
SH32;Spring-spawning;34.575;2.00510219792282
SH_33;Spring-spawning;34.575;1.89377204743115
UP_11_4;Autumn-spawning;34.575;1.05224357355657
UP_11_9;Autumn-spawning;34.575;1.17028242288187
UP_11_5;Autumn-spawning;34.575;1.6485727237967
UP_11_6;Autumn-spawning;34.575;1.40102101227053
UP_11_18;Autumn-spawning;34.575;1.49129948920604
UP_11_7;Autumn-spawning;34.575;1.50269523639018
UP_11_8;Autumn-spawning;34.575;1.39905921918968
UP_11_14;Autumn-spawning;34.575;1.49268776722976
SH_29;Spring-spawning;43.68;2.29460360402587
SH_27;Spring-spawning;43.68;1.65031003031994
SH_26;Spring-spawning;43.68;1.64154306334053
SH_25;Spring-spawning;43.68;2.34871486326485
SH_23;Spring-spawning;43.68;1.9345320166118
SH_22;Spring-spawning;43.68;1.8868957960437
SL57;Slåttersill;43.68;2.52225960671321
SL_63;Slåttersill;43.68;2.08683659357833
SL_58;Slåttersill;43.68;1.78031623496436
SL_66;Slåttersill;43.68;2.33335145505548
SL_65;Slåttersill;43.68;2.13301408478019
SL_62;Slåttersill;43.68;2.21315081936737
SH_21;Spring-spawning;43.68;2.10306538323016
SH31;Spring-spawning;46.1;2.10671892513282
SH32;Spring-spawning;46.1;1.9457094000144
SH_33;Spring-spawning;46.1;1.8311632043016
UP_11_4;Autumn-spawning;46.1;1.05231607893082
UP_11_9;Autumn-spawning;46.1;1.24674450921044
UP_11_5;Autumn-spawning;46.1;1.6643453781591
UP_11_6;Autumn-spawning;46.1;1.37508160120557
UP_11_18;Autumn-spawning;46.1;1.53491684838349
UP_11_7;Autumn-spawning;46.1;1.48152884488011
UP_11_8;Autumn-spawning;46.1;1.39991239795377
UP_11_14;Autumn-spawning;46.1;1.51698165490837
SL-51;Slåttersill;52.0865553197528;2.20361731447323
SL_53;Slåttersill;52.0865553197528;2.20454252000332
SL_45;Slåttersill;52.0865553197528;2.10219649920976
SL_54;Slåttersill;52.0865553197528;1.87408549152479
SH_29;Spring-spawning;54.6;2.32984934354288
SH_27;Spring-spawning;54.6;1.63839653431733
SH_26;Spring-spawning;54.6;1.72436830289482
SH_25;Spring-spawning;54.6;2.31729305546864
SH_23;Spring-spawning;54.6;1.96110030909299
SH_22;Spring-spawning;54.6;1.94068598581424
SL57;Slåttersill;54.6;2.34323732935941
SL_63;Slåttersill;54.6;2.17454987976978
SL_58;Slåttersill;54.6;1.83100996234826
SL_66;Slåttersill;54.6;2.40217854100561
SL_65;Slåttersill;54.6;2.17040809995607
SL_62;Slåttersill;54.6;2.24901493284954
SH_21;Spring-spawning;54.6;2.07133703097475
SH31;Spring-spawning;57.625;2.0977703127724
SH32;Spring-spawning;57.625;1.99897037158766
SH_33;Spring-spawning;57.625;1.78494107548675
UP_11_4;Autumn-spawning;57.625;1.10642218975804
UP_11_9;Autumn-spawning;57.625;1.35748080301597
UP_11_5;Autumn-spawning;57.625;1.61251987887502
UP_11_6;Autumn-spawning;57.625;1.39089497297828
UP_11_18;Autumn-spawning;57.625;1.51428686289259
UP_11_7;Autumn-spawning;57.625;1.45860170265647
UP_11_8;Autumn-spawning;57.625;1.302085562834
UP_11_14;Autumn-spawning;57.625;1.54759881558005
SH_29;Spring-spawning;65.52;2.3438273637687
